Persona_main,Alternate_name,Score
Florence Nightingale,Florence Nighingale,96
Dorothy Wordsworth,Dorothy Wordsorth,95.5
Rachel Russell,Lady Rachel Russell,92.5
Lady Hamilton,"Emma, Lady Hamilton",92
Ninon de Lenclos,Ninon de L'Enclos,89.5
Cleopatra,Queen Cleopatra,87.5
La Maupin,Julia Maupin,87.5
Ninon de Lenclos,Ninon de l'Enclos,86
Angela Burdett-Coutts,Baroness Burdett-Coutts,82.5
Lady Somerset,Lady Henry Somerset,79
Sister Dora,Dorothy Pattison [Sister Dora],78
Felicia Hemans,Felicia Dorothea Hemans,70
Lady Blessington,"Marguerite, Countess of Blessington",63.5
