Author_main,Alternate_name,Score
Joseph Johnson,"Johnson, Joseph",100
Robert Cochrane,"Cochrane, Robert",100
Louise Creighton,"Creighton, Louise",100
Philip Walsingham Sergeant,Philip Walsingham Sergeant ,100
Philip Walsingham Sergeant,Philip Walshingham Sergeant,98
Cameron Rogers,Cameron Rodgers,97
Ethel Colburn Mayne,Ethel Colburne Mayne,97
John Maw Darton,John Maw Dawton,93
Duncan Aikmen,Duncan Aikman,92
Daniel Wise,"Daniel Wise, D.D.",85
Hamilton Wright Mable and Kate Stephens,"Mabie, Hamilton and Kate Stephenson",85
"Cochrane, Jeanie",Jeanie Douglas Cochrane,79
Edmund B. D'Auvergne,Edmund Basil Francis D'Auvergne,76
Edmund B. D'Auvergne,Edmund Basil Francid D'Auvergne,76
Hamilton Wright Mabie,"Hamilton Wright Mabie, Kate Stephens, eds.",70
Millicent Garrett Fawcett,Millicent Garrett Fawcett and Steuart Beatrice,70
Hamilton Wright Mabie,Hamilton Wright Mable and Kate Stephens,67
